id,area,subject
0,ESTUDO DE TEXTO,"Intelecção de textos literários e não literários, verbais e não verbais."
1,GRAMÁTICA,"Fonologia: fonemas, encontros consonantais e vocálicos, dígrafos, divisão silábica, acentuação gráfica e ortografia (conforme a nova ortografia)"
2,GRAMÁTICA,"Morfologia: estrutura das palavras, formação de palavras, classes de palavras: classificação,
flexão e emprego (substantivo, adjetivo, artigo, numeral, pronome, verbo, advérbio, preposição,
conjunção e interjeição)"
3,GRAMÁTICA," Sintaxe: análise sintática da oração, análise sintática do período, pontuação, regência e
concordância, estudo da crase, colocação pronominal"
4,SEMÂNTICA E ESTILÍSTICA,Variedades linguísticas
5,SEMÂNTICA E ESTILÍSTICA,"Sinonímia e antonímia, hiponímia e hiperonímia, polissemia, ambiguidade"
6,SEMÂNTICA E ESTILÍSTICA,"Denotação e Conotação, figuras de linguagem, funções da linguagem, e vícios da linguagem"
7,SEMÂNTICA E ESTILÍSTICA,Versificação
